category,calories_per_100g,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,glycemic_index
jalebi,400,3,10,70,0,50,40,85
biryani,420,15,18,50,2,2,800,72
burger,295,17,12,30,1.5,6,450,75
cake,350,4,15,50,1,35,300,78
chai,90,2,3,14,0,12,50,60
chapati,120,3.5,1.5,20,2.5,0.3,5,62
dhal,116,9,0.4,20,5,2,15,30
dosa,168,3,6,20,1.2,0.5,150,65
egg,155,13,11,1,0,1,125,0
french_fries,312,3.4,15,41,3.8,0.3,210,75
gulab_jamun,320,3,12,45,1,30,50,85
halwa,350,4,12,55,1.5,35,120,82
idli,58,2,0.4,12,0.5,0.1,5,58
kadai_paneer,260,12,20,10,1,4,300,35
kathi_roll,280,10,12,30,3,3,500,70
noodles_pasta,150,5,1.5,30,2,2,200,65
paani_puri,180,4,7,22,3,4,300,68
pakoda_bajji,300,6,18,30,2,2,350,70
pav_bhaji,400,10,20,45,5,6,650,72
pizza,266,11,10,33,2.3,3.6,640,75
poha,180,4,7,25,2,3,200,69
poori,280,5,14,30,2,1,120,72
rice,130,2.4,0.3,28,0.4,0.1,1,73
samosa,260,6,17,24,2,3,300,74
soup,90,3,2,12,1,3,400,50
tandoori_chicken,165,31,3.6,0,0,0,80,0
thali,550,20,22,65,6,5,900,75
upma,180,4.5,8,25,1.5,1,250,66
vada_pav,290,8,16,30,2,4,450,72
ven_pongal,210,6,9,28,2,1,300,68
